SubjectCode,Experiment,Handiness,Trial_Number,MazeID,Lateralized,Side,Moves,Solution_RT,Obs_No,sVGC_Obs,dVGC_Obs,Orig_RandPos,Aware_ReportObs,Subj_RT,Time_Trial,toremove
S000,VGC_lat_behav,2,29,12,1,2,15,3.888604,3,0.999446,0.587238,5,8,8.871175,22.321213,0
S000,VGC_lat_behav,2,29,12,1,2,15,3.888604,4,4.50E-05,0.013651,5,2,8.871175,22.321213,0
S000,VGC_lat_behav,2,29,12,1,2,15,3.888604,5,0.499675,0.011811,5,2,8.871175,22.321213,0
S000,VGC_lat_behav,2,29,12,1,2,15,3.888604,6,1,0.309763,5,7,8.871175,22.321213,0
S000,VGC_lat_behav,2,30,13,1,2,20,5.147001,1,4.50E-05,0.010614,5,1,7.969024,22.789977,0
S000,VGC_lat_behav,2,30,13,1,2,20,5.147001,2,1,0.280231,5,8,7.969024,22.789977,0
S000,VGC_lat_behav,2,30,13,1,2,20,5.147001,3,4.50E-05,0.009063,5,2,7.969024,22.789977,0
S000,VGC_lat_behav,2,30,13,1,2,20,5.147001,4,1,0.506131,5,8,7.969024,22.789977,0
S000,VGC_lat_behav,2,30,13,1,2,20,5.147001,5,1,0.116852,5,2,7.969024,22.789977,0
S000,VGC_lat_behav,2,30,13,1,2,20,5.147001,6,1,0.198856,5,8,7.969024,22.789977,0
S000,VGC_lat_behav,2,31,19,1,1,16,4.462222,1,4.50E-05,0.013574,5,1,6.64463,20.994711,0
S000,VGC_lat_behav,2,31,19,1,1,16,4.462222,2,0.776986,0.04533,5,8,6.64463,20.994711,0
S000,VGC_lat_behav,2,31,19,1,1,16,4.462222,3,4.50E-05,0.011582,5,2,6.64463,20.994711,0
S000,VGC_lat_behav,2,31,19,1,1,16,4.462222,4,1,0.478518,5,8,6.64463,20.994711,0
S000,VGC_lat_behav,2,31,19,1,1,16,4.462222,5,4.50E-05,0.009527,5,2,6.64463,20.994711,0
S000,VGC_lat_behav,2,31,19,1,1,16,4.462222,6,1,0.513699,5,8,6.64463,20.994711,0
S000,VGC_lat_behav,2,32,5,0,1,26,14.00146,1,0.500011,0.212419,5,7,10.970848,34.794188,0
S000,VGC_lat_behav,2,32,5,0,1,26,14.00146,2,1,0.357028,5,6,10.970848,34.794188,0
S000,VGC_lat_behav,2,32,5,0,1,26,14.00146,3,4.50E-05,0.007824,5,6,10.970848,34.794188,0
S000,VGC_lat_behav,2,32,5,0,1,26,14.00146,4,0.500011,0.218911,5,2,10.970848,34.794188,0
S000,VGC_lat_behav,2,32,5,0,1,26,14.00146,5,4.50E-05,0.008379,5,2,10.970848,34.794188,0
S000,VGC_lat_behav,2,32,5,0,1,26,14.00146,6,0.999954,0.716164,5,2,10.970848,34.794188,0
S000,VGC_lat_behav,2,33,4,0,1,24,7.476968,1,0.776937,0.277952,5,7,11.183802,28.263391,0
S000,VGC_lat_behav,2,33,4,0,1,24,7.476968,2,4.50E-05,0.012442,5,2,11.183802,28.263391,0
S000,VGC_lat_behav,2,33,4,0,1,24,7.476968,3,4.50E-05,0.012992,5,2,11.183802,28.263391,0
S000,VGC_lat_behav,2,33,4,0,1,24,7.476968,4,0.006687,0.126397,5,7,11.183802,28.263391,0
S000,VGC_lat_behav,2,33,4,0,1,24,7.476968,5,1,0.860941,5,7,11.183802,28.263391,0
S000,VGC_lat_behav,2,33,4,0,1,24,7.476968,6,4.50E-05,0.010074,5,3,11.183802,28.263391,0
S000,VGC_lat_behav,2,34,6,0,2,21,7.483223,1,1,0.167887,5,3,8.320693,25.672387,0
S000,VGC_lat_behav,2,34,6,0,2,21,7.483223,2,0.000553,0.026176,5,7,8.320693,25.672387,0
S000,VGC_lat_behav,2,34,6,0,2,21,7.483223,3,1,0.568484,5,7,8.320693,25.672387,0
S000,VGC_lat_behav,2,34,6,0,2,21,7.483223,4,4.50E-05,0.007788,5,2,8.320693,25.672387,0
S000,VGC_lat_behav,2,34,6,0,2,21,7.483223,5,0.499569,0.385665,5,7,8.320693,25.672387,0
S000,VGC_lat_behav,2,34,6,0,2,21,7.483223,6,1,0.262165,5,2,8.320693,25.672387,0
S000,VGC_lat_behav,2,35,1,0,2,20,4.915755,1,4.50E-05,0.009394,5,6,9.439365,23.910436,0
S000,VGC_lat_behav,2,35,1,0,2,20,4.915755,2,4.50E-05,0.011198,5,2,9.439365,23.910436,0
S000,VGC_lat_behav,2,35,1,0,2,20,4.915755,3,1,0.273298,5,2,9.439365,23.910436,0
S000,VGC_lat_behav,2,35,1,0,2,20,4.915755,4,1,0.446809,5,8,9.439365,23.910436,0
