,grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,Moves,sVGC,heu_graph,heu_sr,heu_traj,new_sVGC,new_dVGC,spotlightsVGC,VORsVGC
114,grid-007-n,obs-0,R,U,13,3,3,5,0,0.009304225,23,4.54E-05,0,0,0,0.25003405,0.054225508,3.74E-06,0.000555763
115,grid-007-n,obs-1,L,L,1,8,4,6,0,0.009213453,23,4.54E-05,0.64,1.00001,2.358,1,0.327007944,1,1
116,grid-007-n,obs-2,R,L,7,9,3,5,0,0.536468025,23,1,1.29,0,1.519,0.961990218,0.31467895,0.997072838,0.999979506
117,grid-007-n,obs-3,L,U,9,3,5,7,0,0.009803477,23,4.54E-05,4.5,0,35.811,0.25003405,0.081724404,2.96E-06,0.000339019
118,grid-007-n,obs-4,R,U,12,5,2,4,0,0.274406572,23,1,0.83,0,0.799,0.731006459,0.2073312,1,1
119,grid-007-n,obs-5,L,NaN,5,5,1,3,0,0.354377525,23,1,4,1.00001,46.937,0.5000227,0.154981245,1,1
120,grid-008-n,obs-0,L,NaN,5,7,1,3,0,0.257613842,18,1,3.52,0.888897778,42.782,0.5000227,0.133044952,1,1
121,grid-008-n,obs-1,L,L,2,11,4,6,0,0.009586719,18,4.54E-05,0,0,0,4.54E-05,0.010200503,5.78E-08,9.43E-06
122,grid-008-n,obs-2,R,L,3,8,3,5,0,0.010814287,18,4.54E-05,0,0,0,0.25003405,0.161980476,8.57E-06,0.001271318
123,grid-008-n,obs-3,R,U,9,3,3,5,0,0.217454843,18,1,3.49,0.708340417,23.348,1,0.417080727,1,1
124,grid-008-n,obs-4,L,U,8,3,4,6,0,0.008476062,18,4.54E-05,0.89,0.12500125,13.255,0.5000227,0.133044952,3.73E-06,0.000552298
125,grid-008-n,obs-5,R,L,6,6,1,3,0,0.616706611,18,1,5,0.555561111,11.505,0.75001135,0.365420588,1,1
126,grid-009-n,obs-0,L,NaN,7,3,1,3,0,0.276224707,16,1,3.66,2.00002,27.678,0.5000227,0.142505325,1,1
127,grid-009-n,obs-1,L,L,3,8,5,7,0,0.009518104,16,4.54E-05,0,0,0,4.54E-05,0.009518104,3.73E-06,0.000545033
